TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,INCOME_GROUP,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_GIFT_COUNT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
NO,101,,,3,528,309,12520,1,0,16,24,16,5,13,16,93
YES,77,44,,4,470,245,12519,8,3,18,22,27,6,26,18,77
YES,125,,,7,691,311,12519,13,9,16,43,89,11,47,4,125
NO,17,,,,471,192,12518,1,0,16,5,1,4,11,16,16
YES,113,76,1,7,576,200,12518,3,1,15,27,11,5,10,15,112
YES,53,,,1,493,244,12517,2,1,17,17,4,4,10,17,53
NO,137,61,3,7,735,358,12516,0,0,,29,10,6,14,18,129
NO,137,85,,4,629,283,12514,5,4,23,30,24,5,13,23,123
YES,17,,,,386,258,12513,2,1,16,6,3,5,12,15,17
YES,137,43,2,,386,258,12513,2,0,20,29,14,6,13,20,122
NO,113,67,5,5,429,276,12513,2,2,21,27,13,6,13,21,105
NO,137,,,,639,307,12513,1,0,26,28,16,4,8,26,127
NO,89,67,3,,753,411,12513,2,2,16,24,12,6,30,16,89
NO,41,57,6,,750,344,12512,2,1,26,11,2,5,11,26,35
YES,65,81,3,5,1859,420,12512,5,2,17,18,11,6,12,17,56
NO,17,55,2,,377,274,12511,1,1,18,5,1,4,12,18,18
NO,65,,,5,458,312,12511,3,1,25,16,7,6,14,25,64
YES,77,45,,7,657,265,12509,12,6,18,23,36,6,14,18,69
YES,137,,2,3,413,283,12509,7,5,15,32,25,5,11,15,129
NO,137,,,5,629,304,12509,1,1,16,28,14,5,14,16,129
YES,125,70,4,3,677,311,12509,3,3,20,30,26,6,37,4,118
YES,29,43,5,,616,295,12508,5,3,15,10,6,6,14,15,29
YES,29,67,2,,358,307,12507,6,4,19,13,15,7,37,6,29
YES,101,37,2,4,919,338,12507,2,1,17,24,14,6,13,17,93
YES,137,81,2,5,667,333,12506,2,1,18,30,18,5,12,18,122
NO,29,51,5,,663,371,12504,2,1,21,7,2,2,6,21,32
YES,137,80,,4,641,255,12503,4,1,18,32,19,6,14,18,130
NO,113,76,1,5,641,282,12503,2,1,16,24,14,7,31,4,113
NO,29,48,5,,677,319,12503,3,2,15,11,3,6,13,15,29
NO,17,23,2,,808,352,12503,1,0,18,4,1,3,9,18,18
NO,17,,2,,622,236,12502,1,0,15,3,1,3,9,15,15
NO,89,,3,7,545,256,12502,3,3,17,22,10,5,12,17,80
YES,137,72,4,2,525,287,12502,2,2,24,28,18,4,9,24,111
NO,77,58,7,4,591,372,12501,3,1,16,20,7,6,14,16,67
NO,89,78,,4,753,285,12499,1,1,17,22,6,6,13,17,79
YES,29,,,,1016,235,12496,1,1,24,6,1,3,7,24,24
NO,41,49,,5,599,279,12496,4,3,15,16,6,6,13,15,45
YES,77,53,3,8,529,317,12494,1,0,19,18,6,5,11,19,77
YES,77,67,2,6,790,313,12493,5,4,17,22,13,6,14,15,73
NO,77,76,1,7,509,257,12492,2,0,18,18,6,5,13,18,68
NO,41,,2,,860,237,12490,2,2,17,14,4,6,13,15,41
NO,137,52,4,6,565,341,12488,5,3,15,34,35,6,13,15,126
YES,113,,,5,726,302,12484,1,0,26,27,12,5,10,26,113
NO,101,,2,6,463,253,12483,4,2,19,28,13,9,19,19,93
NO,41,63,2,,812,182,12482,3,2,23,15,8,6,12,18,40
NO,89,51,7,1,563,175,12480,1,0,19,27,14,8,25,5,89
YES,41,71,3,,894,273,12479,6,3,18,14,9,6,12,18,36
NO,101,,,2,392,217,12478,6,3,16,25,17,5,13,16,92
YES,89,,5,,721,302,12474,3,2,16,21,8,5,13,16,88
NO,29,53,6,,693,392,12470,2,1,19,9,2,4,10,19,32
YES,89,80,1,,303,254,12469,6,5,17,22,18,6,13,17,79
YES,101,,3,6,973,323,12469,1,1,19,24,7,6,15,19,92
NO,113,69,5,6,848,313,12467,3,3,22,27,18,5,13,22,105
YES,137,80,,1,557,279,12466,6,5,21,44,27,13,45,6,128
NO,41,74,,3,731,321,12466,4,3,25,17,8,6,13,25,44
NO,77,42,5,,656,352,12466,6,3,20,24,18,6,12,20,75
NO,29,47,4,,996,260,12465,1,1,25,7,1,3,7,25,25
NO,125,76,2,,590,279,12465,2,2,24,25,8,5,11,24,125
YES,89,47,6,8,925,456,12465,4,3,21,23,10,6,13,21,89
NO,41,53,7,,722,259,12464,3,1,19,10,4,6,15,19,34
NO,89,64,2,3,458,234,12463,4,3,20,27,12,6,13,20,88
YES,77,45,5,3,364,305,12461,5,2,15,21,9,6,16,15,69
YES,53,54,5,7,730,350,12460,2,0,19,14,4,5,11,19,52
NO,41,42,3,5,567,246,12459,4,2,18,17,7,6,13,18,45
NO,101,51,6,4,638,363,12459,2,0,18,25,7,6,14,18,100
NO,17,73,4,,525,301,12457,1,1,21,7,1,4,10,21,21
YES,101,62,4,6,670,318,12457,7,5,15,29,24,6,12,15,105
NO,137,,3,4,466,249,12456,4,0,18,27,17,6,15,18,128
NO,113,6,4,5,781,313,12456,4,2,20,31,15,6,13,20,104
NO,29,,2,,696,314,12455,3,3,21,10,4,6,13,19,28
YES,17,53,6,,640,376,12455,1,0,20,7,2,6,13,19,20
YES,41,,,,1375,92,12453,3,3,24,15,4,6,12,24,42
NO,29,63,4,,446,233,12453,5,2,18,9,5,6,12,18,31
NO,137,79,4,,485,285,12453,3,1,18,15,11,4,8,18,129
NO,101,57,4,7,519,327,12453,2,1,18,26,9,6,13,18,95
YES,137,57,7,5,441,260,12452,12,5,15,32,43,5,11,15,130
YES,101,49,1,2,441,260,12452,2,2,17,22,7,6,13,17,93
NO,53,,,,448,301,12452,6,5,18,18,13,5,12,18,53
YES,137,42,4,5,466,332,12452,4,4,22,32,33,5,12,22,129
YES,113,45,4,5,604,344,12452,6,2,18,30,32,6,15,18,109
YES,29,,1,,578,242,12451,6,4,16,10,7,6,14,16,30
YES,41,66,5,,492,316,12451,5,4,21,16,7,6,12,21,45
NO,29,54,5,,3308,229,12450,2,1,18,11,3,6,20,18,29
NO,29,65,3,,563,315,12450,3,2,17,10,3,6,12,17,23
YES,89,58,6,5,916,434,12450,5,3,15,25,13,6,14,15,89
NO,137,60,4,5,636,322,12449,1,0,15,33,28,7,17,15,129
YES,77,50,6,4,698,388,12449,4,3,20,24,22,6,13,20,76
YES,89,,,2,464,225,12445,4,4,17,23,10,4,8,17,80
NO,29,38,5,,873,403,12445,0,0,,5,1,3,8,22,22
NO,137,43,4,,475,241,12442,7,3,18,32,17,10,21,18,124
NO,41,69,3,,657,215,12441,8,3,18,13,11,6,13,18,39
NO,113,72,,2,451,267,12441,2,0,18,29,21,6,16,18,105
NO,29,29,1,,587,270,12441,1,1,25,6,1,3,7,25,25
NO,29,22,5,,708,319,12441,3,2,17,12,3,6,13,17,32
NO,113,67,5,4,469,351,12440,1,0,25,29,10,6,12,25,113
NO,77,79,1,3,753,247,12439,2,1,26,18,5,5,12,26,77
NO,29,,2,,551,312,12439,3,1,19,11,3,6,13,19,32
YES,137,67,5,,1606,293,12438,4,3,20,34,21,6,13,20,122
YES,17,55,5,,1606,293,12438,1,1,17,5,1,4,10,17,17
YES,89,57,1,4,476,229,12437,4,1,15,23,12,6,13,15,81
NO,29,35,2,,396,243,12437,1,1,24,6,1,3,7,24,24
NO,125,81,5,3,566,341,12437,6,3,19,21,19,4,10,19,125
YES,65,41,3,6,501,397,12437,4,2,26,20,8,6,15,15,55
YES,89,74,2,7,739,340,12436,3,1,21,16,14,4,24,18,79
YES,41,37,1,,236,203,12434,6,4,17,15,8,6,14,17,41
YES,137,,5,5,600,257,12433,2,0,18,30,19,4,11,18,130
NO,101,66,4,5,600,257,12433,2,2,18,26,20,9,21,18,90
YES,125,,,2,872,294,12433,2,0,19,30,10,6,13,18,118
YES,89,76,6,4,538,238,12431,1,0,20,20,6,4,13,20,79
NO,89,74,,,636,257,12428,5,4,17,22,10,6,13,17,81
YES,101,45,3,,651,310,12428,4,3,19,26,18,6,12,19,98
NO,77,,2,4,668,314,12427,1,1,26,17,8,2,5,26,66
YES,137,71,,3,690,315,12427,1,0,30,32,19,6,13,18,127
NO,137,45,4,6,475,322,12427,3,3,16,31,16,6,15,16,130
NO,89,35,5,8,740,179,12426,3,0,19,23,7,6,13,19,80
NO,101,66,6,,556,275,12426,4,3,22,22,11,6,12,22,93
NO,125,73,5,9,706,299,12426,3,1,18,38,33,6,15,18,124
NO,29,,2,,687,207,12425,2,1,18,9,2,6,12,18,24
YES,137,66,5,3,385,207,12419,7,4,16,44,35,11,31,6,127
YES,29,23,3,,602,336,12418,3,1,19,11,6,6,14,18,28
YES,113,,1,5,602,336,12418,4,2,18,28,22,6,12,18,105
NO,77,,,,1381,239,12416,2,1,15,17,5,4,13,15,76
NO,77,63,4,4,616,263,12416,5,3,23,22,12,6,12,23,68
YES,89,,,9,715,318,12416,3,1,17,21,8,6,15,17,88
YES,89,67,5,5,696,277,12415,3,2,21,22,5,6,15,21,88
NO,29,73,,,696,277,12415,2,1,18,9,2,6,12,18,24
NO,101,,1,2,460,285,12415,1,1,24,24,17,4,17,21,97
YES,65,,,0,810,180,12413,1,1,22,18,6,6,12,22,54
YES,137,,,3,827,240,12413,8,7,17,33,32,6,14,17,120
NO,41,25,4,,685,303,12412,5,3,21,13,7,6,12,21,35
NO,101,,,5,513,316,12411,2,2,23,22,14,6,12,23,89
YES,17,79,2,,482,85,12409,2,2,15,6,3,4,10,15,21
NO,53,53,2,5,554,340,12406,10,6,19,19,21,6,13,19,52
YES,101,,,,1314,363,12406,2,0,17,17,6,5,12,17,97
NO,113,66,2,3,452,170,12402,1,0,26,26,15,4,9,26,113
YES,77,71,5,4,580,286,12400,1,0,18,24,11,5,16,18,68
NO,41,76,3,,520,210,12399,4,2,18,14,4,6,13,18,36
NO,137,81,4,2,688,235,12397,5,2,18,29,26,4,11,18,130
YES,29,71,5,,1283,360,12397,3,2,16,11,3,5,12,16,33
YES,17,40,2,,683,284,12396,3,2,15,7,3,5,14,15,20
YES,77,80,3,2,893,238,12393,7,1,15,23,20,6,15,15,68
NO,41,67,7,,611,276,12391,1,0,19,9,2,4,10,19,35
YES,101,62,2,7,562,360,12391,1,0,21,22,4,6,13,21,100
NO,29,82,4,,556,399,12391,2,0,18,9,3,6,14,18,36
YES,41,49,4,,511,268,12388,3,1,21,15,5,6,12,21,41
NO,89,57,5,7,587,232,12386,3,0,15,19,9,5,11,15,89
YES,17,59,2,,519,283,12386,1,1,17,5,1,4,10,17,17
NO,125,83,2,2,342,252,12385,2,1,18,27,17,6,14,18,118
NO,113,27,4,4,787,275,12385,7,4,17,30,37,6,12,17,113
NO,137,60,2,1,384,201,12384,4,2,16,27,10,5,14,16,128
NO,41,58,1,2,612,261,12384,5,4,15,15,7,6,12,15,45
NO,29,,,,483,253,12383,4,3,18,11,5,6,13,18,33
NO,17,,5,,591,320,12383,1,1,21,5,1,3,8,21,21
NO,17,41,7,,769,381,12383,1,1,21,8,2,6,14,18,21
YES,137,45,,4,436,279,12382,4,2,16,33,19,6,14,16,117
YES,137,67,2,2,237,255,12378,4,3,22,30,13,6,12,22,122
YES,125,,4,1,607,285,12378,4,2,18,20,11,6,14,18,120
NO,137,7,,1,897,305,12378,2,1,24,26,11,4,10,24,126
YES,89,31,,7,589,353,12376,3,1,25,24,18,5,10,25,89
NO,77,78,2,0,388,290,12373,4,2,19,28,18,6,15,19,67
NO,29,,3,,531,306,12369,3,1,24,11,3,6,12,24,30
YES,137,37,3,1,497,275,12368,4,2,15,29,19,6,14,15,130
YES,29,65,5,,699,258,12367,5,5,22,12,5,5,13,22,33
YES,137,,1,5,828,236,12366,5,5,18,31,23,5,10,18,127
YES,17,70,1,,301,238,12366,1,1,17,5,2,4,11,15,17
NO,41,27,5,5,508,308,12366,6,4,19,14,10,6,11,19,45
YES,125,,,4,533,247,12365,6,3,17,29,17,6,13,17,125
NO,89,45,4,0,533,247,12365,2,1,19,24,9,6,16,19,88
YES,41,,,,4250,299,12365,3,2,18,6,4,2,6,18,35
NO,29,40,,,4250,299,12365,2,2,22,9,2,4,11,22,29
NO,29,67,2,,631,356,12364,2,0,15,4,2,0,3,15,31
NO,29,69,2,,482,292,12361,2,1,18,9,2,6,12,18,24
YES,29,49,3,,1096,301,12359,7,5,18,12,7,6,14,18,29
NO,17,37,3,,864,312,12359,1,1,16,5,1,4,11,16,16
NO,137,65,4,4,510,362,12358,3,1,19,30,24,6,13,19,130
NO,137,87,6,2,466,226,12356,3,0,15,30,16,6,13,15,130
NO,29,,,,573,288,12356,7,5,21,12,10,6,13,21,32
NO,65,,4,,573,288,12356,3,2,21,18,7,6,13,21,65
NO,77,72,2,2,547,289,12356,0,0,,15,6,5,33,7,68
NO,77,,,2,684,301,12356,4,3,25,24,23,6,14,18,77
NO,29,69,1,,529,192,12354,3,2,18,10,3,6,12,18,28
NO,41,,2,,768,280,12353,2,1,19,15,3,6,13,19,41
NO,101,66,5,5,495,247,12352,3,1,19,24,7,6,13,19,97
NO,17,47,4,,496,271,12351,1,1,16,6,1,5,12,16,16
NO,77,38,5,,846,252,12350,7,7,16,23,16,6,14,16,76
NO,53,65,4,2,489,294,12350,3,1,15,18,5,6,13,15,53
NO,29,67,2,,582,306,12350,2,2,16,9,2,5,12,16,29
YES,101,41,3,,380,329,12349,4,1,15,25,9,6,16,15,91
NO,29,63,3,,504,274,12346,5,4,17,11,6,6,12,17,29
YES,125,82,,5,584,312,12345,4,3,20,29,12,6,14,20,116
NO,113,67,3,3,235,269,12343,5,3,18,28,18,8,38,6,105
YES,137,82,3,2,337,204,12342,2,1,15,22,17,3,7,15,129
NO,137,78,2,6,435,274,12342,5,2,18,32,18,6,13,18,128
NO,17,67,1,,701,333,12342,1,1,16,5,1,4,11,16,16
NO,89,62,2,4,490,265,12340,4,3,17,26,22,6,13,17,88
NO,41,46,5,5,1008,299,12338,0,0,,15,4,6,30,25,44
NO,29,66,4,,587,374,12338,1,1,24,6,1,3,7,24,24
YES,89,,,,578,248,12336,1,1,25,15,7,2,6,25,86
YES,137,51,6,3,867,214,12335,2,0,19,31,10,6,15,19,109
YES,77,,,8,786,421,12335,4,4,15,20,9,6,15,15,76
NO,77,,,8,786,421,12335,3,3,22,24,14,6,18,18,77
YES,41,67,6,,613,264,12334,2,1,21,13,3,6,12,21,40
YES,41,40,5,,719,313,12333,5,4,18,14,7,6,12,18,41
YES,89,50,5,1,840,244,12332,2,1,17,21,10,8,35,8,84
NO,113,80,2,,840,244,12332,4,1,16,27,15,6,14,16,103
YES,41,69,4,,754,313,12332,3,2,17,14,6,6,14,17,44
YES,65,,,5,886,318,12332,7,2,15,19,18,5,13,15,64
NO,137,41,,4,477,269,12330,6,4,16,30,14,6,15,16,98
YES,89,54,5,7,570,310,12329,9,7,16,25,21,6,15,16,81
NO,53,67,,5,617,256,12328,1,1,19,10,2,4,11,19,53
NO,41,,,4,4500,404,12328,3,3,17,16,7,6,28,4,44
NO,29,,,,703,316,12327,4,3,21,12,5,6,13,21,28
NO,125,73,4,2,695,239,12326,7,4,22,29,15,6,12,22,125
NO,125,53,,4,587,254,12326,4,3,17,31,21,6,14,17,124
YES,137,73,3,7,576,263,12326,4,2,18,33,25,5,12,18,130
NO,137,83,,5,564,311,12326,3,2,21,21,23,4,7,21,126
NO,77,52,5,6,3002,265,12323,6,2,19,28,13,7,24,10,68
NO,101,58,2,,698,314,12322,3,3,16,20,11,5,13,16,97
NO,29,45,6,,836,438,12322,4,4,16,11,4,6,14,16,33
NO,137,17,2,4,478,224,12321,4,1,16,35,32,6,34,7,126
YES,101,75,3,2,1215,296,12319,3,1,18,31,16,9,22,18,105
YES,125,,5,4,710,236,12318,1,0,25,26,7,6,11,25,124
YES,41,24,3,,564,217,12315,9,7,11,18,10,8,21,11,38
NO,125,62,3,5,674,316,12315,2,1,18,26,12,5,12,18,110
NO,125,72,1,1,1740,254,12313,2,0,18,35,23,10,35,6,125
YES,29,71,5,,611,265,12313,1,1,23,8,2,4,10,23,29
NO,137,68,4,,608,290,12311,2,1,18,27,11,6,12,18,128
NO,77,83,4,2,640,248,12309,6,3,21,22,17,6,14,21,67
NO,29,50,6,,592,290,12306,4,1,18,10,4,6,15,18,29
NO,113,87,4,6,811,401,12306,3,0,28,30,16,5,14,26,113
YES,53,,,6,447,214,12305,1,0,19,18,6,6,13,19,52
YES,29,35,7,,622,310,12305,2,0,18,11,2,6,14,18,32
YES,137,66,1,4,491,255,12302,2,1,18,25,10,4,11,18,130
NO,41,37,2,,608,219,12300,2,0,20,14,4,6,12,20,42
NO,77,,,7,659,368,12298,7,5,25,22,19,6,12,25,69
NO,65,81,5,7,440,245,12297,1,1,30,20,6,6,15,18,62
YES,113,86,,5,1941,433,12296,4,4,21,29,23,6,32,4,105
YES,65,42,3,,615,311,12294,5,3,15,18,11,5,12,15,56
NO,29,73,3,,476,278,12293,3,3,17,9,3,6,13,17,24
NO,101,80,2,4,476,278,12293,3,0,18,24,15,5,12,18,98
NO,113,38,5,4,476,278,12293,3,2,16,30,15,6,15,16,112
NO,65,66,2,8,618,292,12293,3,0,26,18,6,5,10,26,57
NO,137,69,2,5,539,306,12289,3,1,23,28,8,5,10,23,127
NO,29,,,,798,221,12287,2,0,15,9,2,4,10,15,28
NO,137,78,2,4,1016,323,12283,2,2,17,24,28,4,26,13,130
YES,137,,,2,694,251,12282,4,1,16,26,34,5,13,16,111
NO,137,53,5,5,761,288,12281,3,3,21,27,19,4,8,21,130
NO,41,74,2,,496,167,12280,3,0,20,14,4,6,12,20,38
NO,41,41,5,3,433,265,12280,7,3,19,17,10,6,13,19,45
YES,17,,,,844,340,12280,1,1,17,5,1,4,10,17,17
YES,125,,2,4,607,298,12279,5,4,15,30,19,5,12,15,119
YES,29,57,,,470,234,12277,1,1,24,7,1,4,10,24,24
NO,29,,5,,566,305,12277,2,0,18,10,2,6,13,18,28
NO,77,,,4,566,305,12277,5,3,17,19,8,6,12,17,68
NO,89,53,3,5,702,336,12276,2,2,17,23,15,5,12,17,89
YES,125,41,5,8,637,379,12275,9,5,18,30,26,6,14,18,119
YES,137,52,3,5,580,310,12273,3,0,17,32,16,6,20,17,126
NO,17,79,3,,683,296,12272,2,1,16,7,2,6,13,16,20
NO,29,71,1,,683,296,12272,4,2,15,9,4,5,11,15,27
YES,29,,,,500,245,12271,1,1,24,6,1,3,8,24,24
NO,17,65,5,,497,281,12271,2,2,17,8,2,6,13,17,21
YES,113,83,5,6,582,361,12270,5,2,18,23,12,4,9,18,104
NO,137,67,7,1,625,184,12269,1,1,17,32,19,6,13,17,130
NO,113,56,,9,502,272,12269,2,0,27,24,5,5,11,27,104
NO,41,74,2,1,713,231,12265,1,1,24,15,2,6,25,24,45
NO,29,54,6,,709,366,12265,2,0,18,9,2,5,11,18,31
NO,113,63,5,3,589,220,12261,4,2,19,28,12,6,13,19,113
NO,77,69,5,,391,306,12261,3,1,16,19,14,6,14,16,77
NO,113,78,5,5,1332,440,12261,4,1,18,28,18,6,20,18,105
NO,29,58,5,,513,260,12257,2,2,19,12,2,6,13,19,32
NO,137,76,1,0,676,305,12255,5,4,23,29,22,6,12,18,130
YES,113,75,5,4,1951,366,12255,7,6,17,29,21,6,11,17,113
YES,41,53,3,,551,247,12254,5,1,18,13,9,6,13,18,43
YES,29,74,3,,662,292,12252,3,2,15,10,5,4,22,15,31
YES,41,63,4,,529,247,12247,6,3,17,14,7,6,13,17,40
NO,137,55,1,5,546,336,12246,1,0,30,32,10,6,14,18,126
NO,17,51,1,,314,354,12245,1,1,21,5,1,3,8,21,21
NO,41,48,,8,531,191,12244,2,2,16,17,6,5,13,16,44
NO,77,16,,7,605,200,12244,3,1,15,23,14,6,13,15,74
NO,41,57,2,,595,284,12244,3,1,18,13,4,5,12,18,41
NO,89,56,4,4,671,321,12244,7,4,17,23,16,6,26,17,86
NO,125,45,2,4,692,285,12241,1,0,16,29,11,5,12,16,122
NO,17,45,4,,692,285,12241,1,0,16,5,1,4,11,16,16
NO,29,,3,,692,285,12241,8,5,18,13,9,6,14,18,32
NO,77,,3,4,523,318,12241,3,2,17,16,12,4,8,17,77
NO,41,23,4,,601,286,12240,5,3,15,15,8,6,13,15,41
NO,77,74,4,7,543,201,12239,8,5,18,22,23,6,29,18,67
YES,77,,,,667,243,12239,6,3,15,12,14,3,7,4,69
YES,113,77,2,2,714,299,12239,6,4,17,13,14,4,12,17,113
YES,137,50,4,4,533,324,12238,5,5,16,32,29,6,15,16,129
NO,29,45,3,,569,318,12237,2,2,23,9,2,4,10,23,29
NO,65,57,7,,665,279,12235,2,0,21,27,12,8,18,21,64
NO,125,35,5,6,585,290,12235,3,0,15,26,13,4,11,15,123
NO,101,,,,555,308,12235,4,3,20,15,9,2,6,20,89
NO,29,,3,,528,274,12233,3,3,22,11,4,6,12,22,29
NO,29,,,,599,286,12232,4,3,19,11,4,6,14,19,29
NO,29,47,,,549,272,12231,2,1,18,12,2,6,12,18,33
NO,53,,,6,549,272,12231,5,4,17,18,9,6,14,17,52
NO,17,,3,,543,278,12228,1,1,16,6,1,5,12,16,16
NO,17,54,3,,543,278,12228,2,0,16,6,2,5,12,16,20
YES,29,30,2,,213,222,12227,6,3,17,10,8,6,13,17,28
YES,101,,4,0,719,224,12226,1,0,18,23,15,4,11,18,93
NO,17,59,2,,595,272,12226,2,2,17,9,2,6,14,17,21
YES,65,,,8,2206,574,12225,3,2,16,17,7,6,15,15,64
NO,41,,,,493,214,12224,2,2,23,10,2,4,10,23,35
YES,29,76,3,,605,223,12224,3,3,17,9,4,6,14,15,24
YES,137,,6,4,639,228,12224,2,1,23,28,12,5,11,23,112
YES,137,53,4,,639,228,12224,4,3,16,31,15,6,13,16,122
NO,29,,2,,561,274,12224,5,2,18,10,6,6,13,18,32
NO,77,,4,,565,302,12223,6,2,15,20,14,6,12,15,69
NO,137,,,4,565,302,12223,2,0,18,28,5,6,13,18,102
YES,101,47,,6,687,379,12223,1,1,21,24,7,6,13,18,105
YES,113,63,,2,512,175,12221,1,1,18,20,16,2,9,18,112
YES,53,47,6,8,592,244,12220,2,1,22,16,4,6,12,22,53
YES,41,,3,1,832,326,12220,4,3,18,27,7,10,25,18,45
NO,89,62,4,7,594,338,12219,2,1,26,21,7,4,10,26,89
NO,29,,3,,724,315,12218,2,2,24,8,2,4,10,24,29
YES,17,49,4,,480,254,12217,1,1,16,5,1,4,11,16,16
YES,77,61,4,7,499,247,12213,1,1,22,15,4,4,10,22,77
YES,77,81,4,3,530,236,12208,11,5,11,33,29,11,29,6,89
YES,41,,5,4,535,283,12206,2,0,19,13,3,6,14,19,44
NO,41,57,5,1,569,312,12205,3,3,22,16,6,6,13,22,45
NO,29,59,2,,569,312,12205,3,1,16,9,4,6,13,16,24
YES,125,79,1,7,589,289,12204,5,2,18,29,20,6,23,18,119
YES,77,48,4,6,881,327,12204,3,2,15,23,10,6,14,15,76
YES,101,73,2,5,450,292,12203,4,2,16,19,12,4,8,16,90
NO,125,85,2,4,954,307,12200,2,0,20,15,17,2,6,20,122
NO,77,80,1,4,463,317,12200,9,7,15,22,24,4,8,15,76
NO,65,,5,7,584,325,12200,3,2,22,20,8,6,12,22,64
NO,137,87,1,7,535,174,12197,4,2,20,34,28,6,13,20,128
YES,89,66,3,3,435,304,12197,5,4,23,23,11,6,13,23,88
NO,113,76,1,4,555,272,12196,2,1,23,29,16,6,12,23,119
NO,29,62,,,884,376,12196,5,4,21,12,6,6,12,21,28
NO,77,36,3,7,884,376,12196,6,3,18,21,12,5,12,18,74
NO,77,39,2,,687,312,12195,4,4,21,23,16,6,12,21,73
NO,17,65,2,,478,219,12194,1,1,16,5,1,4,11,16,16
NO,77,81,2,7,601,357,12192,2,1,23,22,10,6,12,23,77
NO,77,61,4,4,1662,374,12192,2,0,16,25,7,10,24,16,76
NO,41,42,2,,475,383,12192,3,2,17,12,3,6,12,17,35
NO,77,,,5,813,283,12191,1,0,19,20,14,5,12,19,68
NO,41,31,4,,547,274,12190,1,0,26,11,2,4,9,26,40
YES,29,69,2,,444,265,12189,1,1,24,5,1,2,6,24,24
YES,137,80,1,,665,224,12187,3,2,16,26,15,5,12,16,126
NO,29,33,2,,576,294,12187,4,3,16,10,4,5,11,16,33
NO,101,66,3,4,556,227,12185,1,1,17,24,8,6,15,17,103
NO,53,41,3,,422,300,12185,1,0,28,18,6,6,11,25,53
YES,137,81,1,3,561,337,12185,3,2,24,34,32,8,39,5,123
YES,29,29,3,,407,318,12183,4,2,18,10,4,4,9,18,33
NO,101,75,,4,407,318,12183,2,2,16,23,14,5,12,16,103
YES,17,46,5,,350,147,12182,1,1,19,5,1,4,10,19,19
NO,101,81,1,4,350,147,12182,3,2,19,25,45,7,14,19,93
NO,89,78,4,4,672,276,12182,1,0,19,21,7,6,13,16,79
NO,41,65,4,,1800,382,12181,2,1,16,14,5,6,17,16,113
NO,77,53,6,4,923,273,12180,0,0,,22,24,6,19,16,66
YES,41,48,4,,681,318,12180,5,2,18,16,8,6,13,17,43
NO,41,,,6,681,318,12180,2,2,23,16,4,6,13,18,45
YES,137,44,,2,653,194,12177,3,1,17,33,30,6,13,17,130
NO,17,,,,656,243,12176,1,1,17,6,2,5,30,17,17
NO,137,49,,,511,284,12176,2,1,26,30,14,5,11,26,128
NO,137,37,2,2,588,249,12174,2,1,18,28,14,5,14,18,129
NO,137,77,5,5,588,249,12174,4,4,17,29,19,6,14,17,122
NO,137,,3,2,345,273,12170,8,7,17,31,23,6,14,17,129
NO,53,48,1,7,515,354,12169,1,1,21,16,3,6,12,21,53
YES,137,,2,6,519,314,12167,5,3,18,31,16,6,14,18,126
YES,65,71,,3,691,263,12166,4,3,24,24,15,6,14,18,62
YES,41,49,2,,740,211,12165,2,0,15,13,4,5,12,15,42
NO,137,,,0,674,317,12165,2,0,18,30,20,6,13,18,121
YES,89,62,5,3,634,266,12161,4,2,25,24,12,6,11,25,88
NO,101,,,4,553,266,12159,3,2,26,25,29,4,23,20,93
NO,29,36,5,,770,323,12159,1,1,24,6,1,3,7,24,24
NO,17,,3,,558,288,12158,1,0,16,6,1,5,12,16,16
NO,65,52,4,4,269,316,12156,2,0,15,19,4,5,12,15,63
NO,29,59,,,626,192,12154,2,1,18,9,2,6,12,18,24
NO,137,,2,5,442,281,12154,2,1,19,31,15,5,12,19,130
NO,29,75,2,,531,282,12154,1,0,16,9,2,5,11,16,31
NO,41,76,6,,690,246,12153,3,2,15,10,5,3,10,15,39
NO,65,51,4,3,742,305,12153,1,1,21,21,9,6,13,21,65
NO,29,45,4,,702,411,12153,3,2,15,9,3,6,13,15,26
NO,89,68,,5,474,287,12152,1,1,24,24,11,6,11,24,89
NO,17,69,6,,452,198,12148,1,1,21,5,1,3,8,21,21
NO,53,77,7,,531,336,12148,0,0,,13,5,4,26,26,52
NO,29,67,1,,625,232,12147,3,3,21,11,3,6,13,21,26
NO,125,,6,6,515,247,12146,3,1,18,24,29,4,31,9,123
NO,17,37,4,,459,221,12145,1,0,16,6,1,5,11,16,16
NO,113,52,,4,551,258,12145,1,1,21,27,20,5,12,21,113
NO,41,,,,551,258,12145,3,2,24,16,5,6,13,24,40
YES,41,52,,6,553,279,12145,5,2,20,17,10,6,13,20,44
YES,101,,,3,761,321,12145,3,2,18,28,11,6,15,18,100
NO,17,57,1,,684,347,12145,2,2,17,8,3,6,13,17,21
NO,113,76,4,,684,374,12145,5,3,21,33,22,9,31,6,104
